Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount,date
Primary Logo Tee- Mauve- S,1,26.99,0.0,26.99,0.0,2023-06-06
All-Star Hoodie Gray- XL,1,49.99,0.0,49.99,0.0,2023-06-06
Champ Logo Trucker- Khaki,3,74.97,0.0,74.97,0.0,2023-06-06
Baseball Brim Cap,1,18.99,0.0,18.99,0.0,2023-06-06
Nike Dri-Fit Long Sleeve- Black- XXL,1,37.0,5.0,42.0,0.0,2023-06-06
Primary Logo Tee- Navy- 2XL,1,25.99,0.0,25.99,0.0,2023-06-06
Champ Plush Doll,5,74.95,0.0,74.95,8.25,2023-06-06
Retro Staple Crewneck- Heather White- XL,1,38.99,0.0,38.99,0.0,2023-06-06
VT Expos Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-06-06
Fleece Sweater Jacket- Black- L,1,69.99,0.0,69.99,0.0,2023-06-06
Popcorn,7,25.27,0.0,25.27,2.73,2023-06-07
Cheeseburger,9,61.29,3.6,64.89,6.71,2023-06-07
Soft Pretzel,9,32.01,5.87,37.88,3.49,2023-06-07
Movie Candy,2,7.22,0.0,7.22,0.78,2023-06-07
Bottled Water,4,9.04,0.0,9.04,0.96,2023-06-07
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-06-07
Hamburger,2,13.51,0.0,13.51,1.49,2023-06-07
Italian Sausage w/ Peppers & Onions,4,18.04,10.8,28.84,1.96,2023-06-07
Fiddlehead IPA DFT,6,42.9,0.0,42.9,5.1,2023-06-07
Bud Light DFT,1,5.36,0.0,5.36,0.64,2023-06-07
14th Star Mexican Lager DFT,1,7.15,0.0,7.15,0.85,2023-06-07
Citizen Cider DFT,2,14.3,0.0,14.3,1.7,2023-06-07
Long Trail Blackberry DFT,3,21.45,0.0,21.45,2.55,2023-06-07
Long Trail Ale DFT,5,35.75,0.0,35.75,4.25,2023-06-07
14th Star Baseline,1,7.15,0.0,7.15,0.85,2023-06-07
Veggie Burger,2,13.96,0.0,13.96,1.54,2023-06-07
Budweiser DFT,1,5.36,0.0,5.36,0.64,2023-06-07
Garden Salad,1,7.21,0.0,7.21,0.79,2023-06-07
Hot Dog & Soda,1,0.0,0.0,0.0,0.0,2023-06-07
Cheeseburger,1,7.21,0.0,7.21,0.79,2023-06-07
"Footlong ""Monster"" Dog",4,17.33,2.47,19.8,1.92,2023-06-07
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-06-07
Hamburger,1,6.75,0.0,6.75,0.75,2023-06-07
Fries,10,40.6,0.0,40.6,4.4,2023-06-07
Double Cheeseburger,1,11.26,0.0,11.26,1.24,2023-06-07
Boneless Wings & Fries,6,48.66,0.0,48.66,5.34,2023-06-07
Powerade,4,12.64,0.0,12.64,1.36,2023-06-07
Bottled Water,2,4.52,0.0,4.52,0.48,2023-06-07
Hot Dog,2,6.76,0.0,6.76,0.74,2023-06-07
Bottled Soda,17,50.56,3.16,53.72,5.44,2023-06-07
Loaded Fries Pork,1,9.01,0.0,9.01,0.99,2023-06-07
Kids Eat Free,3,0.0,0.0,0.0,0.0,2023-06-07
Bottled Soda,5,15.8,0.0,15.8,1.7,2023-06-07
Cracker Jacks,1,4.51,0.0,4.51,0.49,2023-06-07
Hot Dog,12,38.87,1.69,40.56,4.25,2023-06-07
Kids Eat Free,52,0.0,0.0,0.0,0.0,2023-06-07
Double Cheeseburger,2,16.89,5.63,22.52,1.86,2023-06-07
Season Ticket Holder Soda,9,8.1,0.0,8.1,0.9,2023-06-07
Deep River Chips,4,10.84,0.0,10.84,1.16,2023-06-07
BBQ Chicken Sandwich,2,14.42,0.0,14.42,1.58,2023-06-07
Barefoot Pinot Grigio,1,7.15,0.0,7.15,0.85,2023-06-07
Plastic hard hat - S,2,6.0,0.0,6.0,0.66,2023-06-07
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-06-07
VLM Home Onfield Stretch Fit Cap- M,1,29.99,0.0,29.99,0.0,2023-06-07
Champ Sticker,2,4.0,0.0,4.0,0.44,2023-06-07
Nike Dri-Fit Long Sleeve- Navy- L,1,27.3,14.7,42.0,0.0,2023-06-07
802vtrucker cap,1,24.99,0.0,24.99,0.0,2023-06-07
Champ Logo Trucker- Royal Blue,1,24.99,0.0,24.99,0.0,2023-06-07
Dig In Bracelet,5,25.0,0.0,25.0,2.75,2023-06-07
Toddler daisy cap,1,18.99,0.0,18.99,0.0,2023-06-07
Red Mini Bat,1,8.99,0.0,8.99,0.99,2023-06-07
Soft Champ Logo Baseball,1,5.99,0.0,5.99,0.66,2023-06-07
Vermont Expos Tee- Vintage Navy- XL,1,25.99,0.0,25.99,0.0,2023-06-07
Toddler Boisterous Tee- Green- 4T,1,18.99,0.0,18.99,0.0,2023-06-07
Youth Primary Logo Tee Royal-L,1,21.99,0.0,21.99,0.0,2023-06-07
Youth Champ Logo 3/4 Raglan Tee- S,1,25.99,0.0,25.99,0.0,2023-06-07
Document Tee- Vintage Smoke- S,1,17.55,9.44,26.99,0.0,2023-06-07
Youth replicia twill hat,2,37.98,0.0,37.98,0.0,2023-06-07
Retro Staple Crewneck- Heather White- M,1,25.34,13.65,38.99,0.0,2023-06-07
Small Baseball Card Pack,3,8.97,0.0,8.97,0.99,2023-06-07
Plastic hard hat - L,1,5.0,0.0,5.0,0.55,2023-06-07
Large Baseball Card Pack,1,9.99,0.0,9.99,1.1,2023-06-07
White Replica Jersey- 2XL,1,80.0,0.0,80.0,0.0,2023-06-07
Lake Monsters Sticker,1,2.0,0.0,2.0,0.22,2023-06-07
White Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-06-07
All-Star Trucker Navy,1,24.99,0.0,24.99,0.0,2023-06-07
Large Ice Cream,4,18.71,6.06,24.77,2.04,2023-06-07
VLM #1 Foam Finger- Blue,1,5.99,0.0,5.99,0.66,2023-06-07
Deep River Chips,1,1.35,1.36,2.71,0.15,2023-06-07
Cheese Pizza,5,54.05,0.0,54.05,5.95,2023-06-07
Pepperoni Pizza,9,113.58,0.0,113.58,12.42,2023-06-07
Emp chz,5,27.0,0.0,27.0,3.0,2023-06-07
Emp pep,10,54.0,0.0,54.0,6.0,2023-06-07
Bud Light DFT,1,5.36,0.0,5.36,0.64,2023-06-07
Beer. Baseball Tee- Royal- L,1,25.99,0.0,25.99,0.0,2023-06-07
Champ-ta Claus,1,15.99,0.0,15.99,1.76,2023-06-07
Glow In The Dark Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-06-07
New Duds Maple Kings Primary Tee- Vintage Black- XL,1,25.99,0.0,25.99,0.0,2023-06-07
New Duds Maple Kings Primary Tee- Espresso- XL,1,25.99,0.0,25.99,0.0,2023-06-07
Original Clean-Up,1,28.99,0.0,28.99,0.0,2023-06-07
Small Ice Cream,7,27.97,0.0,27.97,3.03,2023-06-07
Champ Play Ball,3,14.97,0.0,14.97,1.65,2023-06-07
Champ Logo Trucker- Khaki,1,24.99,0.0,24.99,0.0,2023-06-07
Document Tee- Vintage Smoke- L,1,26.99,0.0,26.99,0.0,2023-06-07
Small Baseball Card Pack,3,8.97,0.0,8.97,0.99,2023-06-08
Large Champ Logo Stretch Fit Cap- Navy- L,2,59.98,0.0,59.98,0.0,2023-06-08
3 sticker pack,1,6.0,0.0,6.0,0.66,2023-06-08
802vtrucker cap,1,24.99,0.0,24.99,0.0,2023-06-08
VLM Foam Claw,1,8.99,0.0,8.99,0.99,2023-06-08
Chicken Tacos,1,7.21,0.0,7.21,0.79,2023-06-08
Champ Play Ball Cap,1,16.99,0.0,16.99,0.0,2023-06-08
Retro Staple Crewneck- Heather White- XL,2,46.8,31.18,77.98,0.0,2023-06-08
Chips,1,4.51,0.0,4.51,0.49,2023-06-08
Pork Salad,6,54.06,0.0,54.06,5.94,2023-06-08
Chicken Nachos,8,72.08,0.0,72.08,7.92,2023-06-08
Chicken Salad,6,40.56,13.5,54.06,4.44,2023-06-08
OC Baseline Classic 802 Cap- Navy,1,23.99,0.0,23.99,0.0,2023-06-08
Sharpies,1,2.0,0.0,2.0,0.22,2023-06-08
VT Expos Sticker,5,10.0,0.0,10.0,1.1,2023-06-08
Toddler daisy cap,2,37.98,0.0,37.98,0.0,2023-06-08
Beer. Baseball Tee- Royal- M,1,15.6,10.39,25.99,0.0,2023-06-08
OC Baseline Classic Expos Cap- Royal,1,23.99,0.0,23.99,0.0,2023-06-08
White/Silver Metallic Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-06-08
Tie Dyed Souvenir Baseball,2,16.0,0.0,16.0,1.76,2023-06-08
Maple Kings Snapback Cap,1,24.99,0.0,24.99,0.0,2023-06-08
Champ Logo Hoodie- Navy- L,1,44.99,5.0,49.99,0.0,2023-06-08
Champ Logo 3/4 Raglan Tee- L,1,26.99,0.0,26.99,0.0,2023-06-08
Champ Logo Hoodie- Royal-M,1,44.99,5.0,49.99,0.0,2023-06-08
Champ Sticker,2,4.0,0.0,4.0,0.44,2023-06-08
Crawford Hat,1,23.99,0.0,23.99,0.0,2023-06-08
Champ Logo 3/4 Raglan Tee- XL,1,26.99,0.0,26.99,0.0,2023-06-08
Veggie Nachos,1,9.01,0.0,9.01,0.99,2023-06-08
Champ Logo Hoodie- Navy- M,1,49.99,0.0,49.99,0.0,2023-06-08
Pork Tacos,3,21.63,0.0,21.63,2.37,2023-06-08
Hamburger,4,27.0,0.0,27.0,3.0,2023-06-08
Red Alcoholic Drink,15,0.0,0.0,0.0,0.0,2023-06-08
Citizen Cider DFT,25,178.75,0.0,178.75,21.25,2023-06-08
White Claw Mango,34,243.1,0.0,243.1,28.9,2023-06-08
Bottled Water,8,18.08,0.0,18.08,1.92,2023-06-08
Double Hamburger,1,10.81,0.0,10.81,1.19,2023-06-08
Double Cheeseburger,3,33.78,0.0,33.78,3.72,2023-06-08
Bottled Soda,15,47.4,0.0,47.4,5.1,2023-06-08
Hot Dog,22,74.36,0.0,74.36,8.14,2023-06-08
Loaded Fries Chicken,2,18.02,0.0,18.02,1.98,2023-06-08
BBQ Chicken Sandwich,1,7.21,0.0,7.21,0.79,2023-06-08
Primary Logo Tee- Navy- 2XL,1,25.99,0.0,25.99,0.0,2023-06-08
Hot Dog & Soda,4,0.0,0.0,0.0,0.0,2023-06-08
"Footlong ""Monster"" Dog",4,19.8,0.0,19.8,2.2,2023-06-08
Pork Nachos,1,9.01,0.0,9.01,0.99,2023-06-08
BBQ Pork Sandwich,4,28.84,0.0,28.84,3.16,2023-06-08
Fries,42,170.52,0.0,170.52,18.48,2023-06-08
Cheeseburger,8,57.68,0.0,57.68,6.32,2023-06-08
Boneless Wings & Fries,17,130.22,8.1,138.32,14.28,2023-06-08
Italian Sausage w/ Peppers & Onions,4,28.84,0.0,28.84,3.16,2023-06-08
14th Star Baseline,4,28.6,0.0,28.6,3.4,2023-06-08
White Claw Mango,1,7.15,0.0,7.15,0.85,2023-06-08
Cutwater Tiki Rum Punch,2,21.44,0.0,21.44,2.56,2023-06-08
Cider Can,3,21.45,0.0,21.45,2.55,2023-06-08
Barefoot Chardonnay,2,14.3,0.0,14.3,1.7,2023-06-08
Red Alcoholic Drink,25,0.0,0.0,0.0,0.0,2023-06-08
Kona Golden Ale DFT,9,48.24,0.0,48.24,5.76,2023-06-08
Fiddlehead IPA DFT,13,92.95,0.0,92.95,11.05,2023-06-08
Finnish Long Drink,1,8.93,0.0,8.93,1.07,2023-06-08
Powerade,2,4.74,1.58,6.32,0.51,2023-06-08
VT Expos Stretch Fit Cap- S,1,29.99,0.0,29.99,0.0,2023-06-08
Glow In The Dark Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-06-08
Beer. Baseball. Tee- Vintage Navy-L,1,15.6,10.39,25.99,0.0,2023-06-08
Double Cheeseburger,5,45.04,11.26,56.3,4.96,2023-06-08
Bottled Soda,57,173.76,6.32,180.08,18.74,2023-06-08
Powerade,11,34.72,0.0,34.72,3.78,2023-06-08
Soft Pretzel,50,184.51,13.06,197.57,19.99,2023-06-08
Bottled Water,23,51.98,0.0,51.98,5.52,2023-06-08
Movie Candy,8,27.07,1.81,28.88,2.93,2023-06-08
Lemon Sorbet,1,3.61,0.0,3.61,0.39,2023-06-08
Hot Dog,98,322.72,8.43,331.15,35.4,2023-06-08
Cotton Candy,11,37.9,1.81,39.71,4.1,2023-06-08
Hamburger,8,55.36,0.0,55.36,6.14,2023-06-08
Peanuts,4,14.44,0.0,14.44,1.56,2023-06-08
Italian Sausage w/ Peppers & Onions,15,100.95,7.2,108.15,11.05,2023-06-08
Popcorn,18,64.98,0.0,64.98,7.02,2023-06-08
"Footlong ""Monster"" Dog",8,39.6,0.0,39.6,4.4,2023-06-08
802 Bar,3,10.83,0.0,10.83,1.17,2023-06-08
Cheeseburger,34,227.13,18.0,245.13,24.87,2023-06-08
Cracker Jacks,10,42.85,2.25,45.1,4.65,2023-06-08
Cracker Jacks,1,4.51,0.0,4.51,0.49,2023-06-08
Mozz Sticks,4,25.2,0.0,25.2,2.8,2023-06-08
Peanuts,2,7.22,0.0,7.22,0.78,2023-06-08
Movie Candy,5,14.43,3.62,18.05,1.57,2023-06-08
Onion Rings,6,37.8,0.0,37.8,4.2,2023-06-08
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-06-08
Bottled Water,3,6.78,0.0,6.78,0.72,2023-06-08
Popcorn,3,10.83,0.0,10.83,1.17,2023-06-08
Bottled Soda,3,9.48,0.0,9.48,1.02,2023-06-08
Mini Corn Dogs,7,44.1,0.0,44.1,4.9,2023-06-08
Fried Pickles,5,28.36,3.14,31.5,3.14,2023-06-08
Veggie Burger,3,18.9,0.0,18.9,2.1,2023-06-08
Beer. Baseball. Tee- Vintage Navy-XL,1,18.19,7.8,25.99,0.0,2023-06-08
Hot Coffee,8,21.66,0.0,21.66,2.34,2023-06-08
Deep River Chips,7,18.97,0.0,18.97,2.03,2023-06-08
Champ Logo Trucker- Royal Blue,2,46.23,3.75,49.98,0.0,2023-06-08
Retro Staple Crewneck- Heather White- M,1,38.99,0.0,38.99,0.0,2023-06-08
Replica twill cap,1,23.99,0.0,23.99,0.0,2023-06-08
Youth replicia twill hat,2,37.98,0.0,37.98,0.0,2023-06-08
VT State Patch,1,4.0,0.0,4.0,0.44,2023-06-08
Lake Monsters Sticker,3,6.0,0.0,6.0,0.66,2023-06-08
Foam hotdog Hats,3,29.97,0.0,29.97,3.3,2023-06-08
Beer. Baseball Tee- Royal- XL,1,15.59,10.4,25.99,0.0,2023-06-08
Clean-Up Cap VT State,1,28.99,0.0,28.99,0.0,2023-06-08
Youth Champ Logo 3/4 Raglan Tee- XS,1,25.99,0.0,25.99,0.0,2023-06-08
All-Star Hoodie Gray- XL,1,49.99,0.0,49.99,0.0,2023-06-08
VT Expos Trucker- Royal,4,79.96,20.0,99.96,0.0,2023-06-08
Nike Dri-Fit Long Sleeve- Navy- S,1,42.0,0.0,42.0,0.0,2023-06-08
Original Clean-Up,1,28.99,0.0,28.99,0.0,2023-06-08
Season Ticket Holder Soda,35,31.5,0.0,31.5,3.5,2023-06-08
Cross Bone Cap,1,28.99,0.0,28.99,0.0,2023-06-08
Home Plate Scoop Tee- M,1,31.99,0.0,31.99,0.0,2023-06-08
Champ Logo Trucker- Khaki,1,24.99,0.0,24.99,0.0,2023-06-08
Clear Plastic Rain Poncho,3,6.0,0.0,6.0,0.0,2023-06-08
Long Trail Ale DFT,12,85.8,0.0,85.8,10.2,2023-06-08
Champ Plush Doll,1,14.99,0.0,14.99,1.65,2023-06-08
Beer. Baseball. Tee- Vintage Navy-M,1,15.59,10.4,25.99,0.0,2023-06-08
VT Expos Stretch Fit Cap- L,2,59.98,0.0,59.98,0.0,2023-06-08
VLM #1 Foam Finger- Green,4,23.96,0.0,23.96,2.64,2023-06-08
OC Walk Off Diamond Patch Black Cap,1,26.99,0.0,26.99,0.0,2023-06-08
Champ Logo Tee Heather Gray- S,1,25.99,0.0,25.99,0.0,2023-06-08
White Souvenir Baseball,1,8.0,0.0,8.0,0.88,2023-06-08
Double Hamburger,1,10.81,0.0,10.81,1.19,2023-06-08
Whole Pickle,4,10.84,0.0,10.84,1.16,2023-06-08
Baseball Brim Cap,1,18.99,0.0,18.99,0.0,2023-06-08
Barefoot Cabernet Sauvignon,2,14.3,0.0,14.3,1.7,2023-06-08
Veggie Tacos,1,7.21,0.0,7.21,0.79,2023-06-08
Bud Light DFT,17,91.12,0.0,91.12,10.88,2023-06-08
Emp chz,8,43.2,0.0,43.2,4.8,2023-06-08
Mushroom Pizza,4,50.48,0.0,50.48,5.52,2023-06-08
Poutine w/ Chicken,10,93.72,23.48,117.2,10.28,2023-06-08
Fries,3,12.18,0.0,12.18,1.32,2023-06-08
Season Ticket Holder Soda,14,12.6,0.0,12.6,1.4,2023-06-08
Bottled Water,2,4.52,0.0,4.52,0.48,2023-06-08
Poutine,9,72.09,9.0,81.09,7.91,2023-06-08
Boneless Wings & Fries,1,8.11,0.0,8.11,0.89,2023-06-08
Fried Dough,65,396.94,12.56,409.5,44.06,2023-06-08
Fountain Soda,8,20.32,1.36,21.68,2.18,2023-06-08
Popcorn,1,3.61,0.0,3.61,0.39,2023-06-08
Fried Dough w/ Chicken,1,4.51,4.5,9.01,0.49,2023-06-08
Cotton Candy,1,3.61,0.0,3.61,0.39,2023-06-08
Long Trail Ale DFT,4,28.6,0.0,28.6,3.4,2023-06-08
Fiddlehead Wit DFT,1,7.15,0.0,7.15,0.85,2023-06-08
Fanta BTL,1,3.16,0.0,3.16,0.34,2023-06-08
Barefoot Pinot Grigio,1,7.15,0.0,7.15,0.85,2023-06-08
Full Pep Full Shroom,2,25.24,0.0,25.24,2.76,2023-06-08
14th Star Baseline,2,14.3,0.0,14.3,1.7,2023-06-08
Cedrata Italian Soda,1,4.06,0.0,4.06,0.44,2023-06-08
Pepperoni Pizza,22,277.64,0.0,277.64,30.36,2023-06-08
Kona Golden Ale DFT,11,58.96,0.0,58.96,7.04,2023-06-08
Dippin Dots,64,396.92,6.28,403.2,44.08,2023-06-08
Citizen Cider DFT,3,21.45,0.0,21.45,2.55,2023-06-08
Barefoot Pinot Noir,3,21.45,0.0,21.45,2.55,2023-06-08
ZG Lake Monster Light DFT,2,10.72,0.0,10.72,1.28,2023-06-08
Fiddlehead IPA DFT,5,35.75,0.0,35.75,4.25,2023-06-08
Cutwater Tiki Rum Punch,2,21.44,0.0,21.44,2.56,2023-06-08
Lemon Sorbet,1,3.61,0.0,3.61,0.39,2023-06-08
Popcorn,5,18.05,0.0,18.05,1.95,2023-06-08
Lucky Row Scoop,2,0.0,0.0,0.0,0.0,2023-06-08
802 Bar,6,21.66,0.0,21.66,2.34,2023-06-08
Cotton Candy,3,10.83,0.0,10.83,1.17,2023-06-08
Small Ice Cream,19,73.07,0.0,73.07,7.93,2023-06-08
Bottled Water,1,2.26,0.0,2.26,0.24,2023-06-08
Large Ice Cream,22,115.23,8.52,123.75,12.77,2023-06-08
Emp pep,6,32.4,0.0,32.4,3.6,2023-06-08
Cheese Pizza,18,194.58,0.0,194.58,21.42,2023-06-08
Movie Candy,3,10.83,0.0,10.83,1.17,2023-06-08
Fiddlehead Wit DFT,1,7.15,0.0,7.15,0.85,2023-06-08
Bottled Water,1,2.26,0.0,2.26,0.24,2023-06-08
Finnish Long Drink,1,8.93,0.0,8.93,1.07,2023-06-08
Good Measure Cream Ale DFT,6,32.16,0.0,32.16,3.84,2023-06-08
Cracker Jacks,2,9.02,0.0,9.02,0.98,2023-06-08
Bottled Water,3,6.78,0.0,6.78,0.72,2023-06-08
ZG Lake Monster Light DFT,40,214.4,0.0,214.4,25.6,2023-06-08
Rescue Club IPA N/A,7,50.47,0.0,50.47,5.53,2023-06-08
Long Trail Blackberry DFT,10,71.5,0.0,71.5,8.5,2023-06-08
Popcorn,3,10.83,0.0,10.83,1.17,2023-06-08
14th Star Baseline,11,78.65,0.0,78.65,9.35,2023-06-08
Nutrl Watermelon Vodka,2,17.86,0.0,17.86,2.14,2023-06-08
Budweiser DFT,8,42.88,0.0,42.88,5.12,2023-06-08
Cutwater Tiki Rum Punch,2,21.44,0.0,21.44,2.56,2023-06-08
ZG Conehead IPA DFT,18,128.7,0.0,128.7,15.3,2023-06-08
Peanuts,2,7.22,0.0,7.22,0.78,2023-06-08
Fiddlehead IPA DFT,56,400.4,0.0,400.4,47.6,2023-06-08
Stella Can,3,21.45,0.0,21.45,2.55,2023-06-08
Devil's Backbone Margarita,2,21.44,0.0,21.44,2.56,2023-06-08
14th Star Mexican Lager DFT,9,64.35,0.0,64.35,7.65,2023-06-08
ZG Conehead IPA DFT,6,42.9,0.0,42.9,5.1,2023-06-08
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-06-08
von Trapp Helles DFT,8,57.2,0.0,57.2,6.8,2023-06-08
Powerade,1,3.16,0.0,3.16,0.34,2023-06-08
Mushroom Philly,2,13.52,4.5,18.02,1.48,2023-06-08
Dr. Pepper BTL,1,3.16,0.0,3.16,0.34,2023-06-08
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-06-08
Deep River Chips,4,9.48,1.36,10.84,1.02,2023-06-08
ZG Lake Monster Light DFT,7,37.52,0.0,37.52,4.48,2023-06-08
Cracker Jacks,1,4.51,0.0,4.51,0.49,2023-06-08
Stella Can,2,14.3,0.0,14.3,1.7,2023-06-08
White Claw Mango,3,21.45,0.0,21.45,2.55,2023-06-08
Queen City Porter DFT,4,28.6,0.0,28.6,3.4,2023-06-08
Fiddlehead IPA DFT,4,28.6,0.0,28.6,3.4,2023-06-08
Deep River Chips,2,5.42,0.0,5.42,0.58,2023-06-08
Cheeseburger,4,18.04,10.8,28.84,1.96,2023-06-08
"Footlong ""Monster"" Dog",6,29.7,0.0,29.7,3.3,2023-06-08
Philly Cheesesteak,20,153.2,27.0,180.2,16.8,2023-06-08
Popcorn,2,7.22,0.0,7.22,0.78,2023-06-08
Citizen Cider DFT,10,71.5,0.0,71.5,8.5,2023-06-08
Italian Sausage w/ Peppers & Onions,1,7.21,0.0,7.21,0.79,2023-06-08
Bottled Soda,10,30.02,1.58,31.6,3.23,2023-06-08
Hot Dog,3,6.76,3.38,10.14,0.73,2023-06-08
Ladie's Racerback Tank Top- Midnight Blue- S,1,29.99,0.0,29.99,0.0,2023-06-13
VT Expos Sticker,2,4.0,0.0,4.0,0.44,2023-06-13
Maple Kings Sticker,1,2.0,0.0,2.0,0.22,2023-06-13
Large Champ Logo Stretch Fit Cap- Navy- M,3,89.97,0.0,89.97,0.0,2023-06-13
LM mug,2,23.98,0.0,23.98,2.64,2023-06-13
LM Shot glass,1,6.99,0.0,6.99,0.77,2023-06-13
Green/Blue Plaid Baseball,2,16.0,0.0,16.0,1.76,2023-06-13
Beer. Baseball Tee- Royal- XL,1,25.99,0.0,25.99,0.0,2023-06-13
3/4 Raglan Expos Tee- Gray/Navy- M,1,26.99,0.0,26.99,0.0,2023-06-13
Small Baseball Card Pack,1,2.99,0.0,2.99,0.33,2023-06-13
Beer. Baseball. Tee- Vintage Navy-M,2,51.98,0.0,51.98,0.0,2023-06-13
$0.25 Hot Dog Sticker,8,16.0,0.0,16.0,1.76,2023-06-13
Champ Logo Trucker- Khaki,1,24.99,0.0,24.99,0.0,2023-06-13
Retro Sunset,1,6.99,0.0,6.99,0.77,2023-06-13
Champ Logo Keychain,1,6.0,0.0,6.0,0.66,2023-06-13
Summer of Love Tee 2023- L,1,23.2,5.79,28.99,0.0,2023-06-13
Maple Kings Youth Bolt Snapback,1,18.99,0.0,18.99,0.0,2023-06-13
Kelly Green Mini Bat,6,53.94,0.0,53.94,5.94,2023-06-13
Labor Tee- Vintage Navy- L,1,28.99,0.0,28.99,0.0,2023-06-13
Home Plate Scoop Tee-S,1,25.59,6.4,31.99,0.0,2023-06-13
VLM Foam Claw,3,26.97,0.0,26.97,2.97,2023-06-13
Large Champ Logo Stretch Fit Cap- Navy- S,2,59.98,0.0,59.98,0.0,2023-06-13
Original Clean-Up,1,28.99,0.0,28.99,0.0,2023-06-13
Nike Performance Tee- Navy- XL,1,34.99,0.0,34.99,0.0,2023-06-13
NYPL Patch,1,5.0,0.0,5.0,0.55,2023-06-13
VLM Home Onfield Stretch Fit Cap- XL,1,29.99,0.0,29.99,0.0,2023-06-13
OC Baseline Classic Maple Kings Cap- Navy,1,23.99,0.0,23.99,0.0,2023-06-13
Foam hotdog Hats,3,29.97,0.0,29.97,3.3,2023-06-13
Replica Tie-Dye Jersey- M,1,80.0,0.0,80.0,0.0,2023-06-13
Get Off My Tail,1,5.99,0.0,5.99,0.66,2023-06-13
Wiffle Ball Set,2,35.98,0.0,35.98,3.96,2023-06-13
Champ Plush Doll,5,74.95,0.0,74.95,8.25,2023-06-13
Pen,1,1.99,0.0,1.99,0.22,2023-06-13
OC Baseline Classic Champ Cap- Navy,3,71.97,0.0,71.97,0.0,2023-06-13
Soft Champ Logo Baseball,4,23.96,0.0,23.96,2.64,2023-06-13
Plastic hard hat - L,3,15.0,0.0,15.0,1.65,2023-06-13
New Era Stretch Fit Liquid Chrome,1,29.99,0.0,29.99,0.0,2023-06-13
Youth $0.25 Hot Dog Tee- Royal Blue- M,1,21.99,0.0,21.99,0.0,2023-06-13
Youth replicia twill hat,2,37.98,0.0,37.98,0.0,2023-06-13
Champ Logo Trucker- Royal Blue,1,24.99,0.0,24.99,0.0,2023-06-13
Barefoot Pinot Grigio,4,28.6,0.0,28.6,3.4,2023-06-13
OC Baseline Classic Hot Dog Cap- Royal,2,47.98,0.0,47.98,0.0,2023-06-13
ZG Lake Monster Light DFT,40,214.4,0.0,214.4,25.6,2023-06-13
Cutwater Tiki Rum Punch,9,96.48,0.0,96.48,11.52,2023-06-13
Peanuts,5,18.05,0.0,18.05,1.95,2023-06-13
Rescue Club Pils N/A,1,7.21,0.0,7.21,0.79,2023-06-13
Nutrl Watermelon Vodka,6,53.58,0.0,53.58,6.42,2023-06-13
Citizen Cider DFT,38,271.7,0.0,271.7,32.3,2023-06-13
Kona Golden Ale DFT,23,123.28,0.0,123.28,14.72,2023-06-13
Emp chz,15,81.0,0.0,81.0,9.0,2023-06-13
Pepperoni Pizza,35,441.7,0.0,441.7,48.3,2023-06-13
Emp Shroom,1,5.4,0.0,5.4,0.6,2023-06-13
Cedrata Italian Soda,6,24.36,0.0,24.36,2.64,2023-06-13
Mushroom Pizza,6,75.72,0.0,75.72,8.28,2023-06-13
1/2 Pep.  1/2 Shroom,1,12.62,0.0,12.62,1.38,2023-06-13
Sharpies,7,14.0,0.0,14.0,1.54,2023-06-13
Full Pep Full Shroom,2,25.24,0.0,25.24,2.76,2023-06-13
Finnish Long Drink,4,35.72,0.0,35.72,4.28,2023-06-13
OC Baseline Classic Expos Cap- Royal,1,23.99,0.0,23.99,0.0,2023-06-13
Cracker Jacks,1,4.51,0.0,4.51,0.49,2023-06-13
Long Trail Ale DFT,6,42.9,0.0,42.9,5.1,2023-06-13
Champ Blanket,1,25.0,0.0,25.0,2.75,2023-06-13
VLM Face Mask,1,6.99,0.0,6.99,0.77,2023-06-13
Youth Replica Home Jersey- M,1,60.0,0.0,60.0,0.0,2023-06-13
Champ Play Ball Cap,1,16.99,0.0,16.99,0.0,2023-06-13
Good Measure Cream Ale DFT,9,48.24,0.0,48.24,5.76,2023-06-13
Bottled Water,6,13.56,0.0,13.56,1.44,2023-06-13
Fiddlehead IPA DFT,89,636.35,0.0,636.35,75.65,2023-06-13
Bud Light DFT,30,160.8,0.0,160.8,19.2,2023-06-13
White Claw Mango,14,100.1,0.0,100.1,11.9,2023-06-13
Budweiser DFT,4,21.44,0.0,21.44,2.56,2023-06-13
Popcorn,3,10.83,0.0,10.83,1.17,2023-06-13
von Trapp Helles DFT,14,100.1,0.0,100.1,11.9,2023-06-13
